2011 super output area - lower layer,mnemonic,Date,Gender,All Ages,Age 0,Age 1,Age 2,Age 3,Age 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Age 85,Age 86,Age 87,Age 88,Age 89,Aged 90+
Dacorum 006A,E01023355,2019,Male,734,4,4,5,5,8,53,48,42,31,16,31,26,35,70,68,38,57,50,60,28,31,7,4,6,1,4,2
Dacorum 006B,E01023356,2019,Male,524,3,4,2,2,1,19,50,31,24,19,16,21,19,43,39,40,38,47,40,29,20,3,1,1,2,1,9
Dacorum 006C,E01023416,2019,Male,721,4,5,6,8,2,32,38,46,34,24,35,31,35,60,51,64,64,39,56,29,21,8,0,2,5,3,19
Dacorum 006D,E01023417,2019,Male,639,8,7,11,8,8,31,64,29,20,26,32,29,37,60,32,52,45,25,37,26,25,1,4,6,2,3,11
Dacorum 007A,E01023393,2019,Male,914,19,15,13,13,7,36,45,24,30,75,99,79,75,50,59,74,68,34,45,26,15,4,2,2,0,0,5
Dacorum 007B,E01023394,2019,Male,716,10,10,7,6,9,82,52,27,30,43,59,47,65,32,32,41,52,41,31,17,16,3,0,0,1,0,3
Dacorum 007C,E01023395,2019,Male,856,11,14,12,13,10,69,60,60,57,51,59,68,50,58,43,58,50,35,40,24,12,0,1,0,0,0,1
Dacorum 007D,E01023396,2019,Male,790,6,10,9,6,8,67,59,43,35,26,53,75,51,62,35,52,60,54,37,13,21,1,3,1,1,0,2
Dacorum 007E,E01023397,2019,Male,680,13,8,9,14,11,70,45,41,41,39,34,57,39,54,43,24,46,50,20,13,3,1,0,2,1,1,1
Dacorum 008A,E01023401,2019,Male,877,12,14,12,14,20,83,56,58,27,54,80,76,64,49,53,48,50,31,25,13,13,7,4,1,2,1,10
Dacorum 008B,E01023402,2019,Male,849,14,19,15,10,13,65,54,37,43,61,56,72,66,59,61,62,34,29,20,27,20,4,0,0,2,4,2
Dacorum 008C,E01023403,2019,Male,764,13,9,14,9,13,69,46,22,27,59,56,53,66,41,49,33,50,32,29,21,24,4,1,4,3,3,14
Dacorum 008D,E01023404,2019,Male,691,16,16,15,11,19,68,69,52,38,40,44,54,44,46,35,43,35,17,8,6,7,0,2,1,1,0,4
Dacorum 008E,E01023405,2019,Male,743,7,5,11,16,14,64,59,38,45,50,67,55,35,60,45,56,25,35,23,9,9,1,2,6,3,2,1
Dacorum 009A,E01023361,2019,Male,957,16,11,11,7,10,38,43,60,21,81,80,105,67,74,58,79,52,51,30,27,12,8,2,3,0,4,7
Dacorum 009B,E01023362,2019,Male,894,8,8,5,12,16,55,45,53,21,16,37,49,74,69,80,61,61,48,52,39,37,11,7,4,6,6,14
Dacorum 009C,E01023363,2019,Male,736,8,8,9,13,11,51,42,32,14,45,28,59,69,60,61,62,44,48,18,25,14,0,0,6,3,4,2
Dacorum 009D,E01023364,2019,Male,657,6,12,10,7,15,49,38,40,19,12,15,37,52,60,48,43,42,49,33,22,18,4,9,7,1,0,9
Dacorum 010A,E01023390,2019,Male,1058,14,24,14,16,16,93,64,61,59,48,66,82,83,70,77,87,67,27,31,22,20,4,1,2,3,1,6
Dacorum 010B,E01023391,2019,Male,843,11,14,13,16,14,72,34,55,62,45,44,55,47,50,80,75,53,34,31,17,11,2,1,0,1,0,6
Dacorum 010C,E01023399,2019,Male,902,12,8,11,7,5,41,47,34,40,71,76,79,64,59,58,69,59,43,57,16,23,2,1,2,1,2,15
Dacorum 011A,E01023392,2019,Male,752,8,9,11,7,15,58,55,42,46,44,48,38,51,52,61,65,50,21,14,24,15,2,3,3,2,3,5
Dacorum 011B,E01023427,2019,Male,823,13,11,14,10,10,88,80,72,52,31,44,42,59,52,53,45,48,31,25,17,11,1,4,2,2,0,6
Dacorum 011C,E01023428,2019,Male,752,12,14,11,7,13,63,43,30,30,30,56,63,48,51,56,67,49,42,22,23,16,0,1,1,1,1,2
Dacorum 011D,E01023429,2019,Male,925,12,14,10,15,15,67,57,56,53,40,56,58,78,59,49,52,52,50,47,32,27,2,0,9,0,4,11
Dacorum 012A,E01023369,2019,Male,746,13,10,13,11,15,60,62,44,38,43,35,47,53,57,55,44,16,39,29,22,30,1,4,1,1,1,2
Dacorum 012B,E01023370,2019,Male,876,16,11,18,17,8,75,70,29,33,66,29,67,74,84,60,57,42,20,20,20,29,7,5,6,4,4,5
Dacorum 012C,E01023371,2019,Male,830,18,14,13,12,11,67,83,54,42,17,35,47,55,68,70,47,45,42,43,24,16,3,2,0,0,1,1
Dacorum 012D,E01023372,2019,Male,802,7,11,8,12,10,68,76,48,21,10,17,35,50,67,63,62,50,53,68,22,20,2,2,3,3,3,11
Dacorum 013A,E01023345,2019,Male,857,17,17,23,21,6,47,52,44,53,51,71,86,62,32,67,56,40,28,24,23,18,2,5,1,0,2,9
Dacorum 013B,E01023346,2019,Male,1052,23,31,28,30,19,140,63,62,60,73,72,101,77,61,60,29,28,22,29,18,11,1,4,2,0,3,5
Dacorum 013C,E01023347,2019,Male,642,10,9,13,8,11,38,44,23,27,25,30,49,34,34,44,60,45,42,36,25,11,4,8,4,2,2,4
Dacorum 013D,E01023348,2019,Male,861,15,12,16,16,26,67,64,35,35,50,62,72,48,58,64,44,49,32,34,19,15,4,3,6,2,1,12
Dacorum 014A,E01023365,2019,Male,620,11,5,7,6,11,33,24,27,27,34,43,57,57,53,27,44,39,35,31,22,22,0,0,2,1,0,2
Dacorum 014B,E01023366,2019,Male,760,12,10,16,12,12,60,75,40,25,45,46,50,66,63,55,63,27,30,26,12,8,0,2,0,2,0,3
Dacorum 014C,E01023367,2019,Male,553,3,1,5,8,9,48,33,39,17,21,9,19,38,54,42,42,36,25,34,29,13,8,2,5,5,4,4
Dacorum 014D,E01023368,2019,Male,882,15,8,11,9,14,64,81,60,32,21,45,54,80,81,86,55,47,41,21,30,14,2,2,2,0,4,3
Dacorum 015A,E01023349,2019,Male,966,10,17,11,15,11,88,71,62,40,51,64,60,65,66,71,63,57,59,37,22,7,8,2,2,2,1,4
Dacorum 015B,E01023350,2019,Male,895,16,15,9,17,18,83,82,46,36,44,74,74,60,55,56,59,47,35,22,14,18,4,1,3,3,0,4
Dacorum 015C,E01023351,2019,Male,769,10,11,18,7,11,61,54,30,40,36,47,71,65,61,44,47,40,34,35,17,13,1,4,2,1,1,8
Dacorum 015D,E01023398,2019,Male,1934,26,39,34,36,23,132,118,83,111,182,256,174,158,136,100,94,86,51,39,22,13,3,3,2,2,2,9
Dacorum 015E,E01023400,2019,Male,1004,18,18,19,14,13,36,44,40,41,77,80,60,76,74,69,89,48,50,40,38,30,4,3,4,1,3,15
Dacorum 016A,E01023383,2019,Male,742,12,16,9,6,13,63,43,37,32,30,64,46,59,48,63,56,49,26,28,26,4,2,2,0,2,0,6
Dacorum 016B,E01023384,2019,Male,954,12,13,15,14,10,77,71,55,54,69,85,79,74,51,64,55,54,41,16,18,14,1,1,0,2,1,8
Dacorum 016C,E01023385,2019,Male,798,6,11,9,8,5,32,49,51,35,66,42,56,38,57,53,67,46,63,34,35,13,5,4,2,1,3,7
Dacorum 017A,E01023409,2019,Male,925,20,9,16,12,13,68,68,44,62,66,69,68,55,79,57,52,43,27,36,25,23,2,0,4,2,3,2
Dacorum 017B,E01023410,2019,Male,667,4,6,8,5,8,28,48,26,24,29,21,32,27,40,43,49,71,43,43,43,40,3,3,6,6,3,8
Dacorum 017C,E01023411,2019,Male,735,8,8,9,8,20,58,51,47,40,43,42,66,49,57,54,39,43,20,24,22,14,2,4,0,3,1,3
Dacorum 017D,E01023412,2019,Male,652,4,4,2,5,7,38,37,35,23,31,15,14,42,38,59,60,38,32,47,38,40,8,6,7,8,3,11
Dacorum 017E,E01023413,2019,Male,608,7,4,13,12,6,46,36,33,21,44,35,38,44,32,50,45,36,42,20,15,12,2,5,0,4,2,4
Dacorum 018B,E01023354,2019,Male,1146,20,18,33,22,24,97,62,51,32,81,95,94,88,81,95,77,48,29,39,29,11,4,2,4,1,4,5
Dacorum 018C,E01023379,2019,Male,762,9,23,10,12,11,40,45,38,39,29,45,56,53,50,54,67,46,40,39,28,17,1,3,2,1,0,4
Dacorum 018D,E01023380,2019,Male,522,3,6,7,5,4,33,32,33,15,26,25,40,40,36,44,34,47,28,17,17,19,2,1,3,0,0,5
Dacorum 018E,E01023381,2019,Male,592,4,7,3,6,6,25,39,44,23,22,19,16,41,39,46,51,50,40,48,24,26,5,2,2,0,1,3
Dacorum 018F,E01023382,2019,Male,746,8,10,11,9,6,60,43,51,33,55,58,55,47,75,45,47,37,27,29,12,24,0,0,1,0,0,3
Dacorum 018G,E01033022,2019,Male,1013,15,15,17,13,12,70,60,20,63,103,111,88,101,88,53,42,56,45,18,13,4,0,2,0,3,0,1
Dacorum 018H,E01033023,2019,Male,1060,19,12,12,11,10,25,39,31,62,140,131,89,89,74,79,78,52,32,45,12,15,1,1,1,0,0,0
Dacorum 019A,E01023386,2019,Male,739,9,7,13,9,6,43,49,42,56,54,51,67,49,30,56,49,56,34,28,13,7,1,0,2,1,2,5
Dacorum 019B,E01023387,2019,Male,653,4,5,11,8,6,58,47,49,32,31,51,55,36,41,51,42,27,24,32,18,13,0,1,1,1,0,9
Dacorum 019C,E01023388,2019,Male,816,4,11,14,14,14,59,45,53,31,48,77,58,55,55,64,53,48,25,27,28,11,2,0,2,3,2,13
Dacorum 019D,E01023389,2019,Male,833,9,15,9,15,11,58,45,56,30,41,46,48,67,69,53,72,61,40,32,24,15,2,4,5,0,4,2
Dacorum 020A,E01023357,2019,Male,914,15,15,15,19,16,109,81,46,38,54,71,69,56,43,54,53,47,39,30,11,21,1,1,2,3,1,4
Dacorum 020B,E01023358,2019,Male,772,13,6,15,12,17,64,66,68,44,51,48,58,59,51,58,34,23,45,12,19,2,0,0,0,0,0,7
Dacorum 020C,E01023359,2019,Male,912,8,10,12,9,14,82,89,60,51,61,67,75,74,56,79,51,36,21,30,13,9,0,1,2,1,1,0
Dacorum 020D,E01023360,2019,Male,759,8,8,13,10,9,52,61,43,39,62,41,64,66,60,46,42,34,31,41,15,6,2,0,0,0,2,4
Dacorum 020E,E01023414,2019,Male,1010,19,13,13,16,13,55,61,40,52,101,101,97,84,59,60,67,52,33,25,14,8,5,5,4,1,2,10
Dacorum 020F,E01023415,2019,Male,651,8,13,9,4,7,42,36,44,25,27,45,56,30,41,46,35,45,40,37,17,24,4,3,4,4,3,2
Dacorum 021A,E01023373,2019,Male,1540,7,5,5,12,7,46,30,39,203,258,185,184,131,100,82,69,55,34,38,31,10,2,1,2,1,0,3
Dacorum 021B,E01023374,2019,Male,678,3,13,12,11,8,41,33,31,17,36,28,36,49,49,43,63,38,36,50,27,24,7,6,7,5,0,5
Dacorum 021C,E01023375,2019,Male,781,6,10,6,8,4,53,60,45,46,23,18,31,32,58,70,85,57,40,48,37,27,3,4,0,1,1,8
Dacorum 021D,E01023376,2019,Male,595,9,3,3,11,12,54,33,35,24,28,28,28,57,40,46,39,33,32,41,25,9,1,0,1,1,0,2
Dacorum 021E,E01023377,2019,Male,633,1,8,6,7,8,47,47,38,15,15,18,21,31,46,52,59,43,41,53,37,16,4,7,1,4,3,5
Dacorum 021F,E01023378,2019,Male,825,4,3,4,7,4,39,50,53,48,33,23,32,43,84,73,68,68,49,58,42,22,3,3,4,3,3,2
Dacorum 022A,E01023406,2019,Male,889,11,17,10,14,6,57,43,58,34,48,52,47,65,55,71,63,67,46,43,25,30,5,3,3,4,5,7
Dacorum 022B,E01023407,2019,Male,828,10,9,16,8,8,54,48,52,38,35,34,51,69,60,70,65,55,38,50,27,25,1,0,0,1,1,3
Dacorum 022C,E01023408,2019,Male,768,6,7,9,7,6,43,49,54,42,20,23,41,43,49,70,58,58,41,47,49,30,4,3,2,2,1,4
Broxbourne 001A,E01023316,2019,Male,730,7,18,4,11,7,43,31,61,49,44,44,30,39,48,57,41,31,47,45,25,36,1,4,3,2,0,2
Broxbourne 001B,E01023317,2019,Male,1244,14,19,24,13,22,94,118,95,71,58,56,74,77,95,93,65,53,39,63,40,30,5,5,5,3,6,7
Broxbourne 001C,E01023318,2019,Male,743,5,10,8,11,7,46,47,43,40,34,34,44,52,46,61,48,44,40,49,41,19,6,0,1,2,1,4
Broxbourne 001D,E01023319,2019,Male,720,5,5,5,4,9,35,39,55,36,33,31,34,24,58,54,45,41,48,48,44,36,3,10,5,2,3,8
Broxbourne 002A,E01023327,2019,Male,673,5,8,11,7,4,60,47,42,53,47,41,44,42,43,54,28,28,18,36,19,13,5,3,2,2,5,6
Broxbourne 002B,E01023328,2019,Male,645,13,9,9,5,8,40,48,49,44,34,48,45,56,34,44,56,37,21,26,11,5,0,0,1,1,0,1
Broxbourne 002C,E01023329,2019,Male,638,9,5,8,13,12,52,33,41,40,27,26,40,52,47,34,34,39,33,40,20,22,1,1,4,1,2,2
Broxbourne 002D,E01023330,2019,Male,761,19,16,13,16,12,68,46,48,32,51,58,66,49,51,68,42,27,24,20,9,20,0,3,1,0,1,1
Broxbourne 002E,E01023331,2019,Male,803,8,7,5,5,9,63,66,61,37,53,50,50,53,69,65,43,42,43,31,22,14,1,0,3,0,1,2
Broxbourne 003A,E01023320,2019,Male,1134,19,19,18,13,14,54,68,40,62,116,106,97,76,64,81,56,43,44,52,39,34,1,5,1,3,3,6
Broxbourne 003B,E01023321,2019,Male,1042,10,17,16,11,13,80,43,41,42,58,53,51,48,67,84,58,62,50,100,58,34,10,2,5,9,3,17
Broxbourne 003C,E01023322,2019,Male,934,12,17,13,10,7,84,58,45,61,71,58,66,71,70,70,55,47,38,27,20,22,1,1,1,0,2,7
Broxbourne 003D,E01023323,2019,Male,886,13,11,10,12,9,42,52,41,60,53,66,55,75,66,82,65,52,30,26,21,24,7,1,3,4,2,4
Broxbourne 004A,E01023289,2019,Male,701,8,5,3,9,2,47,55,44,38,21,17,27,40,47,74,60,55,42,51,31,8,6,0,3,4,1,3
Broxbourne 004B,E01023290,2019,Male,805,8,8,2,8,11,55,57,62,42,41,30,32,47,51,66,59,38,42,51,39,31,2,5,3,0,3,12
Broxbourne 004C,E01023291,2019,Male,779,8,7,8,7,11,41,65,35,27,32,42,30,68,42,61,66,53,35,53,35,32,2,6,3,4,2,4
Broxbourne 004D,E01023292,2019,Male,752,5,7,6,8,12,48,42,42,42,38,40,39,49,68,54,43,41,50,51,27,19,4,3,2,1,4,7
Broxbourne 005A,E01023340,2019,Male,890,17,17,23,12,18,76,67,47,49,54,57,55,62,53,50,46,55,38,43,23,16,2,2,4,1,0,3
Broxbourne 005B,E01023341,2019,Male,873,14,8,8,8,8,49,60,81,39,49,54,45,50,59,50,78,47,33,59,43,25,1,1,1,1,0,2
Broxbourne 005C,E01023342,2019,Male,1443,30,24,22,34,29,131,96,56,81,119,122,106,131,87,103,65,68,40,32,31,21,3,0,2,1,2,7
Broxbourne 005D,E01023343,2019,Male,1047,24,25,14,30,29,106,92,41,76,72,86,73,67,69,61,46,50,26,16,18,13,1,1,1,0,2,8
Broxbourne 005E,E01023344,2019,Male,799,13,5,6,11,9,53,34,39,38,44,41,66,49,62,66,59,38,45,47,35,26,1,2,1,1,4,4
Broxbourne 006A,E01023307,2019,Male,761,11,5,7,10,10,60,53,36,42,57,45,41,45,42,56,81,44,32,35,15,29,0,0,1,1,0,3
Broxbourne 006B,E01023308,2019,Male,805,8,6,15,7,15,41,32,55,54,42,33,49,56,59,46,58,43,46,51,47,22,6,4,2,1,5,2
Broxbourne 006C,E01023309,2019,Male,798,6,13,10,5,18,65,36,50,46,50,30,34,44,39,64,58,52,59,47,34,25,2,1,3,2,2,3
Broxbourne 006D,E01023310,2019,Male,1330,19,31,35,36,29,116,101,80,71,103,108,124,67,85,76,73,63,31,36,17,16,3,2,2,1,1,4
Broxbourne 007A,E01023311,2019,Male,833,13,12,15,13,13,41,39,38,32,54,37,49,51,54,64,68,45,52,42,48,34,7,4,1,2,2,3
Broxbourne 007B,E01023312,2019,Male,852,10,5,5,11,7,56,47,58,76,51,40,34,40,42,87,69,70,47,47,26,7,4,1,3,2,4,3
Broxbourne 007C,E01023313,2019,Male,766,4,10,6,6,6,34,40,52,38,44,18,30,44,41,72,72,48,51,51,40,29,8,3,4,4,2,9
Broxbourne 007D,E01023315,2019,Male,909,6,9,10,12,6,49,66,81,85,43,53,41,50,68,102,63,56,46,31,11,17,0,0,1,1,1,1
Broxbourne 008A,E01023302,2019,Male,697,9,12,8,8,13,32,50,43,44,34,49,42,36,45,53,53,32,42,30,11,25,6,6,5,3,2,4
Broxbourne 008B,E01023303,2019,Male,775,16,13,15,8,9,49,63,55,45,41,58,46,53,55,67,46,36,28,31,19,11,4,1,2,0,2,2
Broxbourne 008C,E01023304,2019,Male,747,8,9,11,10,10,58,45,42,34,51,52,54,44,44,49,62,41,30,30,15,26,2,2,2,3,4,9
Broxbourne 008D,E01023305,2019,Male,697,14,10,4,9,10,55,51,44,36,62,39,42,48,51,46,41,32,22,36,14,18,4,5,2,0,0,2
Broxbourne 008E,E01023306,2019,Male,716,6,4,6,9,11,43,51,39,41,52,40,44,40,43,45,63,61,23,36,31,17,1,1,1,2,4,2
Broxbourne 009A,E01023314,2019,Male,757,13,13,8,12,10,53,53,59,40,46,40,55,51,44,54,44,40,37,40,20,18,1,1,0,1,1,3
Broxbourne 009B,E01023324,2019,Male,612,10,5,12,10,3,31,48,28,37,36,29,35,46,37,44,38,34,31,35,35,12,2,3,2,2,1,6
Broxbourne 009C,E01023325,2019,Male,636,7,9,12,9,11,53,36,23,29,42,54,46,32,43,40,46,50,28,20,21,18,2,0,0,1,0,4
Broxbourne 009D,E01023326,2019,Male,774,9,12,11,10,10,65,65,47,48,23,45,57,39,45,57,56,51,27,48,16,15,3,4,1,1,2,7
Broxbourne 010A,E01023297,2019,Male,619,7,5,4,7,6,35,57,34,43,29,36,46,46,31,50,32,42,20,35,35,8,3,3,1,3,0,1
Broxbourne 010B,E01023298,2019,Male,707,13,10,10,11,8,49,42,27,32,34,48,33,48,37,55,48,42,37,40,20,28,4,3,7,6,2,13
Broxbourne 010C,E01023299,2019,Male,845,9,10,9,14,11,54,38,45,52,53,54,60,52,61,50,67,46,37,35,31,27,3,7,6,5,4,5
Broxbourne 010D,E01023300,2019,Male,698,7,7,9,7,9,65,53,34,58,63,65,44,43,46,42,34,25,21,25,14,15,5,0,1,2,2,2
Broxbourne 010E,E01023301,2019,Male,865,12,14,8,13,18,58,44,74,47,43,63,75,65,77,55,56,38,27,25,19,17,3,3,2,0,0,9
Broxbourne 011A,E01023293,2019,Male,834,9,12,16,16,9,53,71,70,37,51,36,52,42,58,57,49,44,36,44,29,26,4,1,1,2,2,7
Broxbourne 011B,E01023294,2019,Male,768,14,10,9,15,9,71,50,43,37,37,71,46,52,52,56,46,35,29,33,22,16,2,2,4,0,2,5
Broxbourne 011C,E01023295,2019,Male,711,8,12,7,10,8,41,46,49,49,67,31,44,36,41,33,50,49,30,39,30,20,0,2,4,1,1,3
Broxbourne 011D,E01023296,2019,Male,866,14,21,15,11,20,76,53,65,45,50,68,44,52,56,71,42,37,35,40,23,18,3,1,3,0,1,2
Broxbourne 012A,E01023332,2019,Male,1010,21,14,13,16,5,76,63,43,60,79,72,77,70,68,71,59,40,42,39,32,25,3,4,1,2,1,14
Broxbourne 012B,E01023333,2019,Male,1020,17,17,13,18,13,69,68,66,60,68,87,115,61,64,63,68,37,34,37,19,12,4,4,3,1,1,1
Broxbourne 012C,E01023334,2019,Male,811,14,9,9,7,4,47,42,38,37,64,55,45,36,42,58,67,64,34,40,38,27,5,5,5,5,8,6
Broxbourne 012D,E01023335,2019,Male,841,10,13,13,9,9,51,53,56,61,68,41,53,57,37,73,62,41,35,31,23,30,1,1,2,1,2,8
Broxbourne 013A,E01023336,2019,Male,1043,19,23,21,17,17,78,71,55,59,82,120,100,81,54,77,60,38,23,13,19,5,1,0,3,3,0,4
Broxbourne 013B,E01023337,2019,Male,994,20,19,9,18,19,52,84,60,78,82,82,63,77,44,65,58,44,37,24,28,17,4,1,1,1,1,6
Broxbourne 013C,E01023338,2019,Male,1189,27,20,23,21,18,100,66,47,69,96,111,109,82,79,78,47,54,44,36,21,21,4,4,2,4,4,2
Broxbourne 013D,E01023339,2019,Male,706,6,6,7,11,9,44,51,48,36,56,59,51,52,47,53,60,35,23,30,12,6,0,0,1,1,1,1
Welwyn Hatfield 001A,E01023965,2019,Male,706,2,2,8,1,8,46,42,32,37,27,21,25,35,46,53,70,53,58,72,31,19,5,2,4,2,1,4
Welwyn Hatfield 001B,E01023966,2019,Male,842,6,4,6,8,7,50,60,58,35,23,26,42,47,48,72,74,56,65,67,35,37,3,2,2,1,1,7
Welwyn Hatfield 001C,E01023967,2019,Male,740,7,7,5,7,4,50,34,35,24,60,49,32,43,59,47,40,49,42,22,32,40,4,6,3,5,10,24
Welwyn Hatfield 001D,E01023971,2019,Male,821,5,10,5,7,8,45,58,61,39,27,22,31,43,60,83,84,45,47,48,40,34,3,0,5,2,2,7
Welwyn Hatfield 002B,E01023968,2019,Male,639,3,8,6,4,6,27,29,30,31,46,28,29,31,36,48,59,44,51,44,36,24,1,2,3,3,2,8
Welwyn Hatfield 002C,E01023969,2019,Male,687,2,10,6,6,2,32,41,35,29,35,41,31,39,42,51,40,50,42,44,37,39,6,6,5,3,5,8
Welwyn Hatfield 002D,E01023970,2019,Male,864,17,10,17,13,20,86,50,43,28,61,54,80,53,54,55,51,45,36,33,24,14,2,4,4,1,1,8
Welwyn Hatfield 002E,E01033310,2019,Male,921,7,12,8,7,12,49,66,64,54,76,72,82,92,89,57,63,31,23,17,15,17,0,1,1,4,1,1
Welwyn Hatfield 002F,E01033313,2019,Male,777,9,4,5,14,14,45,68,48,39,46,63,52,57,73,55,51,47,29,31,7,5,2,2,2,5,1,3
Welwyn Hatfield 003A,E01023959,2019,Male,657,5,6,7,1,8,39,43,33,18,38,22,20,32,56,60,49,58,44,50,27,20,5,4,1,3,4,4
Welwyn Hatfield 003B,E01023960,2019,Male,764,10,10,7,11,9,72,78,27,34,28,36,48,55,60,61,61,36,27,32,25,18,1,2,6,3,1,6
Welwyn Hatfield 003C,E01023961,2019,Male,676,13,11,23,19,17,48,34,33,34,45,47,47,40,53,43,57,20,25,21,18,11,2,2,3,0,1,9
Welwyn Hatfield 003D,E01023962,2019,Male,747,9,7,9,6,9,75,62,62,30,24,22,28,50,56,61,47,53,33,37,23,23,2,4,5,3,2,5
Welwyn Hatfield 004A,E01023912,2019,Male,742,7,21,6,10,9,56,28,39,33,47,34,70,62,57,41,48,56,37,30,22,14,2,2,7,0,1,3
Welwyn Hatfield 004B,E01023913,2019,Male,624,10,6,8,5,6,58,34,28,31,39,29,38,48,42,46,47,40,26,36,17,20,2,0,2,3,0,3
Welwyn Hatfield 004C,E01023914,2019,Male,799,11,13,10,15,9,57,58,51,17,47,46,57,33,51,58,54,50,50,33,33,17,2,11,4,1,3,8
Welwyn Hatfield 004D,E01023915,2019,Male,761,12,5,14,8,17,66,53,35,38,57,68,68,53,52,47,42,39,17,22,7,19,2,2,6,4,1,7
Welwyn Hatfield 005A,E01023950,2019,Male,810,15,8,6,11,4,54,53,39,40,70,46,54,49,41,55,61,75,61,30,16,8,1,1,3,1,2,6
Welwyn Hatfield 005B,E01023951,2019,Male,839,12,12,13,12,18,31,43,37,32,58,78,54,57,57,56,74,49,48,40,30,9,2,4,1,4,1,7
Welwyn Hatfield 005C,E01023952,2019,Male,834,15,10,11,6,11,41,48,24,28,70,78,66,68,45,47,52,60,45,44,36,12,2,2,2,2,1,8
Welwyn Hatfield 005D,E01023953,2019,Male,737,3,6,13,14,10,44,54,38,27,49,54,65,48,49,49,57,51,31,33,17,10,1,5,4,0,3,2
Welwyn Hatfield 006A,E01023916,2019,Male,814,10,10,10,3,13,55,57,55,43,52,54,59,37,61,74,58,46,26,25,24,19,10,0,3,4,3,3
Welwyn Hatfield 006B,E01023917,2019,Male,832,7,9,9,10,11,52,45,35,43,31,35,62,65,59,59,66,60,60,40,32,23,3,4,1,2,2,7
Welwyn Hatfield 006C,E01023918,2019,Male,852,7,5,5,10,10,22,39,30,40,57,51,69,48,55,71,54,47,39,48,49,29,8,5,12,11,10,21
Welwyn Hatfield 006D,E01023919,2019,Male,786,0,5,5,2,7,43,71,54,38,39,14,26,46,52,55,62,69,46,54,43,19,4,6,2,3,5,16
Welwyn Hatfield 007A,E01023954,2019,Male,1085,14,18,17,14,15,82,69,59,48,129,102,113,72,74,53,68,44,32,22,17,14,1,1,3,0,1,3
Welwyn Hatfield 007B,E01023955,2019,Male,684,11,11,11,14,5,57,75,56,32,45,42,47,44,61,48,37,26,20,19,6,11,0,4,0,0,1,1
Welwyn Hatfield 007C,E01023956,2019,Male,666,14,7,16,9,10,76,47,45,41,57,50,54,33,44,38,28,51,14,18,9,1,0,1,0,2,0,1
Welwyn Hatfield 007D,E01023957,2019,Male,751,8,16,10,12,16,64,50,32,50,80,80,48,48,59,51,30,29,29,20,8,7,0,0,1,1,0,2
Welwyn Hatfield 007E,E01023958,2019,Male,696,5,7,10,9,13,52,59,65,34,78,47,50,44,55,57,35,21,15,4,11,8,3,3,2,2,3,4
Welwyn Hatfield 008A,E01023943,2019,Male,753,6,8,10,14,14,78,73,60,29,39,36,44,38,62,56,61,47,31,25,0,14,0,0,0,0,0,8
Welwyn Hatfield 008B,E01023944,2019,Male,1068,20,16,19,16,25,96,65,69,42,63,70,84,85,79,79,50,51,32,46,23,18,2,3,1,1,2,11
Welwyn Hatfield 008C,E01023945,2019,Male,808,9,12,14,10,16,82,59,46,30,50,62,62,53,43,53,55,42,26,23,19,21,4,6,3,3,1,4
Welwyn Hatfield 008D,E01023946,2019,Male,978,27,21,23,16,16,76,74,41,31,70,58,96,64,68,82,36,40,53,29,21,12,3,4,6,3,3,5
Welwyn Hatfield 009A,E01023939,2019,Male,643,5,8,12,10,13,54,38,41,31,51,41,37,24,40,56,41,30,38,19,20,19,4,1,2,3,1,4
Welwyn Hatfield 009B,E01023940,2019,Male,919,12,10,13,13,22,79,62,62,50,38,51,68,65,56,77,62,44,38,31,28,14,4,8,5,4,1,2
Welwyn Hatfield 009C,E01023941,2019,Male,1537,31,35,37,29,32,128,106,47,80,129,135,170,143,94,115,52,43,46,38,22,17,1,0,2,1,2,2
Welwyn Hatfield 009D,E01023942,2019,Male,837,6,9,11,14,11,85,89,56,35,49,52,72,69,59,52,45,45,28,9,16,17,1,2,0,0,0,5
Welwyn Hatfield 010A,E01023929,2019,Male,847,8,13,11,15,12,57,54,49,48,56,91,65,49,55,60,53,37,34,27,24,15,2,3,3,2,2,2
Welwyn Hatfield 010B,E01023930,2019,Male,884,6,14,10,16,16,89,78,58,55,64,80,78,52,47,59,38,40,37,24,7,7,2,0,3,0,2,2
Welwyn Hatfield 010D,E01023938,2019,Male,1473,5,7,4,11,5,63,59,283,396,114,70,54,60,58,62,38,48,38,40,22,18,2,4,2,6,2,2
Welwyn Hatfield 010E,E01033308,2019,Male,2050,10,8,11,8,8,64,43,209,601,557,143,118,77,62,11,53,15,6,19,4,7,2,0,2,1,2,9
Welwyn Hatfield 010F,E01033311,2019,Male,838,7,9,15,13,14,55,54,42,49,66,77,83,50,52,55,58,37,26,31,27,11,1,1,1,0,0,4
Welwyn Hatfield 010G,E01033314,2019,Male,1339,9,9,8,14,11,82,58,91,367,169,155,85,79,54,50,43,15,7,5,23,2,0,1,0,0,1,1
Welwyn Hatfield 011A,E01023924,2019,Male,1054,11,2,9,12,11,39,36,80,168,133,135,101,72,53,47,41,29,32,18,8,9,2,2,1,1,0,2
