2011 super output area - lower layer,mnemonic,Date,Gender,All Ages,Age 0,Age 1,Age 2,Age 3,Age 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Age 85,Age 86,Age 87,Age 88,Age 89,Aged 90+
Watford 008D,E01023889,2018,Male,830,11,11,8,11,13,68,54,60,43,47,14,39,54,56,69,67,61,34,55,30,16,1,1,2,1,1,3
Watford 009A,E01023859,2018,Male,1335,34,34,37,29,33,94,51,32,55,139,209,174,157,75,51,54,25,25,5,9,9,2,0,0,1,0,1
Watford 009B,E01023860,2018,Male,1053,20,11,15,10,24,57,39,45,53,93,144,97,95,91,88,51,50,18,22,20,6,0,1,1,0,0,2
Watford 009C,E01023861,2018,Male,1721,29,24,39,25,36,83,53,57,100,251,255,209,162,92,68,77,46,31,37,22,17,1,1,1,2,1,2
Watford 009D,E01023862,2018,Male,1269,18,22,22,20,19,95,52,35,53,124,158,136,104,105,82,53,55,30,34,19,21,1,2,1,0,2,6
Watford 010A,E01023899,2018,Male,974,17,21,8,16,25,71,70,43,40,63,98,99,89,80,79,33,43,21,18,17,17,1,1,1,0,1,2
Watford 010B,E01023900,2018,Male,764,8,12,14,11,15,45,70,83,41,37,61,75,70,62,40,30,27,13,30,4,9,0,0,0,1,0,6
Watford 010C,E01023901,2018,Male,1067,14,16,21,12,11,90,80,52,63,63,114,121,121,77,77,33,42,12,17,12,12,2,0,2,1,1,1
Watford 010D,E01023902,2018,Male,819,8,3,12,9,11,72,48,55,33,72,72,80,83,57,63,48,21,26,19,7,16,1,2,0,0,0,1
Watford 010E,E01023903,2018,Male,867,13,13,11,21,12,60,67,51,46,52,84,79,63,59,55,68,38,23,11,23,11,2,1,2,0,0,2
Watford 011A,E01023863,2018,Male,864,10,18,14,9,15,59,65,45,50,59,100,103,70,55,57,50,29,22,9,9,11,1,1,0,0,1,2
Watford 011B,E01023864,2018,Male,783,19,7,11,19,12,54,38,35,42,53,76,76,63,65,72,29,21,23,22,21,10,0,4,2,2,1,6
Watford 011C,E01023865,2018,Male,834,13,7,11,19,18,66,75,84,59,39,41,78,69,48,60,38,29,39,13,11,7,1,3,2,1,0,3
Watford 011D,E01023866,2018,Male,657,6,12,12,12,15,63,77,36,26,28,35,66,44,56,41,33,32,21,12,20,8,1,0,0,0,0,1
Watford 011E,E01023867,2018,Male,1349,21,25,27,19,22,89,103,73,69,108,147,181,112,87,65,75,36,34,23,13,13,0,1,0,0,0,6
